CERCID,RESEARCHER,SITE,SEX,AGE,CHILDREN,FORMALED,MAT1,SEC1,MAT1C,MCONF,OMNI.BG,DIEPUN,MBG,BGPERFHO,OMNI.LG,LGDIEPUN,MLG,LGPERFHO
CERC23,Atkinson,Coastal Tanna,0,30,3,7,0,1,-2,0,1,0.5,3.33,4,0,0.5,4,2
CERC9,Atkinson,Coastal Tanna,0,57,5,6,0,1,-2,0,1,1,3.67,4,0.5,0.5,3.33,NA
CERC517,McNamara,Yasawa,0,35,1,12,0,1,-2,0,1,0.5,4,1,0,0.5,0.33,0
CERC537,McNamara,Yasawa,0,40,5,8,0,1,-2,0,1,1,3,2,0,0.5,0,0
CERC556,McNamara,Yasawa,0,40,5,10,0,1,-2,0,1,0.5,4,1,0,0.5,0.33,0
CERC579,McNamara,Yasawa,0,20,1,7,0,1,-2,0,1,0.5,1.33,1,0,0.5,0.33,0
CERC194,Willard,Lovu,1,42,2,6,0,1,-2,0,1,0.5,2.33,1,NA,NA,NA,NA
CERC199,Willard,Lovu,1,20,0,16,0,1,-2,0,1,0.5,4,2,NA,NA,NA,NA
CERC213,Willard,Lovu,0,55,4,2,0,1,-2,0,1,1,3,1,NA,NA,NA,NA
CERC14,Atkinson,Coastal Tanna,0,26,2,6,1,0,-2,0,1,0,1,3,NA,NA,NA,NA
CERC30,Atkinson,Coastal Tanna,1,30,3,6,1,0,-2,0,1,1,3,4,0.5,1,3,3
CERC6,Atkinson,Coastal Tanna,0,29,2,7,1,0,-2,0,1,1,3.33,4,NA,NA,NA,NA
CERC136,Atkinson,Inland Tanna,0,40,5,0,1,0,-2,0,NA,NA,NA,NA,NA,NA,NA,NA
CERC374,Cohen,Marajo,1,39,4,8,1,0,-2,0,1,1,3,4,1,1,2.67,2
CERC388,Cohen,Marajo,0,44,9,5,1,0,-2,0,1,0.5,2,4,0,0,0.67,NA
CERC520,McNamara,Yasawa,0,22,NA,11,1,0,-2,0,1,0.5,4,1,0,0.5,0.33,0
CERC526,McNamara,Yasawa,1,29,0,12,1,0,-2,0,1,0.5,4,1,0,0.5,0.33,0
CERC569,McNamara,Yasawa,0,51,4,10,1,0,-2,0,1,0.5,4,1,0,0.5,0.33,0
CERC570,McNamara,Yasawa,0,50,NA,5,1,0,-2,0,1,0.5,4,1,0,0.5,0.33,0
CERC193,Willard,Lovu,0,31,2,6,1,0,-2,0,1,1,2.67,1,NA,NA,NA,NA
CERC197,Willard,Lovu,1,66,3,7,1,0,-2,0,1,0.5,2,2,NA,NA,NA,NA
CERC204,Willard,Lovu,0,24,2,NA,1,0,-2,0,1,1,4,NA,NA,NA,NA,NA
CERC205,Willard,Lovu,0,54,4,8,1,0,-2,0,1,0.5,2.67,1,NA,NA,NA,NA
CERC211,Willard,Lovu,0,65,3,8,1,0,-2,0,1,0.5,2.67,1,NA,NA,NA,NA
CERC214,Willard,Lovu,0,64,7,5,1,0,-2,0,1,1,4,2,NA,NA,NA,NA
CERC219,Willard,Lovu,1,60,1,0,1,0,-2,0,1,1,3,1,NA,NA,NA,NA
CERC221,Willard,Lovu,0,65,5,0,1,0,-2,0,1,1,3.33,1,NA,NA,NA,NA
CERC223,Willard,Lovu,1,28,2,8,1,0,-2,0,1,1,3,1,NA,NA,NA,NA
CERC224,Willard,Lovu,1,60,5,8,1,0,-2,0,1,1,3.33,1,NA,NA,NA,NA
CERC225,Willard,Lovu,0,67,4,0,1,0,-2,0,1,1,4,1,NA,NA,NA,NA
CERC226,Willard,Lovu,0,63,5,6,1,0,-2,0,1,0.5,2.67,1,NA,NA,NA,NA
CERC230,Willard,Lovu,0,35,1,12,1,0,-2,0,1,0.5,3.33,1,NA,NA,NA,NA
CERC231,Willard,Lovu,0,42,2,6,1,0,-2,0,1,1,4,2,NA,NA,NA,NA
CERC234,Willard,Lovu,0,83,6,0,1,0,-2,0,1,0.5,3,1,NA,NA,NA,NA
CERC237,Willard,Lovu,0,53,3,12,1,0,-2,0,1,0,1.33,1,NA,NA,NA,NA
CERC239,Willard,Lovu,0,NA,2,NA,1,0,-2,0,1,1,4,1,NA,NA,NA,NA
